X_meters,Y_meters,Altitude_meters,Waypoint,Drone_ID,Waypoint_Type
-850.0,-850.0,45.0,0,2,Start
-318.69131873052277,-35.30657259884443,45.00012794302236,1,2,Intermediate
-200.69425097229745,142.32555698717425,45.0067950812929,2,2,Intermediate
-18.036061058487324,365.5998184204213,45.00691953350189,3,2,Intermediate
49.28689381833323,433.3462931107274,45.00742140499532,4,2,Intermediate
101.95796340826764,485.4764898340733,45.0084723883971,5,2,Intermediate
138.478597021807,502.9637348714838,45.05395644223917,6,2,Intermediate
234.39112425870218,547.0289615563079,45.03389134198917,7,2,Intermediate
316.29144855475835,586.7884259505222,45.03058702452098,8,2,Intermediate
540.2766305283747,699.5655687679103,45.00019326686588,9,2,Intermediate
850.0,850.0,45.0,10,2,Goal
