X_meters,Y_meters,Altitude_meters,Waypoint,Drone_ID,Waypoint_Type
-850.0,-550.0,50.0,0,0,Start
-266.2468193829507,30.002263316151566,50.00443690269596,1,0,Intermediate
4.628404572037825,317.59327106655536,50.444350909328385,2,0,Intermediate
81.37275964604771,333.75574262418473,50.07388217989069,3,0,Intermediate
121.81997316339809,332.3067172611385,50.025686064592655,4,0,Intermediate
141.87778652358597,313.8848345053699,50.02335436953593,5,0,Intermediate
198.8357673307199,223.89663282349548,50.015900620130544,6,0,Intermediate
249.94910108831624,123.23287942699245,50.01234931486381,7,0,Intermediate
286.3715567108929,57.6412988560408,50.00430107526168,8,0,Intermediate
309.74493272969556,57.38156743400041,50.00167264117697,9,0,Intermediate
850.0,650.0,50.0,10,0,Goal
