X_meters,Y_meters,Altitude_meters,Waypoint,Drone_ID,Waypoint_Type
800.0,800.0,40.0,0,3,Start
190.3625260404714,-128.37769396269056,40.037990829556044,1,3,Intermediate
-31.588591400158162,-336.8600971268651,40.057173829851784,2,3,Intermediate
-107.84695559339787,-378.00808130591724,40.05810724746505,3,3,Intermediate
-146.49887597217534,-399.0997534034081,40.161687105380466,4,3,Intermediate
-385.7900407834077,-317.82781328209325,40.16360386580216,5,3,Intermediate
-421.467302461297,-308.53641458014727,40.15088153959995,6,3,Intermediate
-433.9726325797941,-330.69599009854807,40.12088831872327,7,3,Intermediate
-460.3558072347286,-385.05500221906505,40.06569566119898,8,3,Intermediate
-500.6172525463578,-447.20722749660644,40.003880337586395,9,3,Intermediate
-800.0,-800.0,40.0,10,3,Goal
