Drone_ID,Waypoint,X_meters,Y_meters,Altitude_meters,Waypoint_Type
0,0,-800.0,-600.0,40.0,Start
0,1,-241.52537078519964,-175.843145612789,40.00045733558723,Intermediate
0,2,23.124159342582942,95.5117444538072,40.00419412955449,Intermediate
0,3,109.67012417322577,186.48047582745684,40.048568759532685,Intermediate
0,4,166.80071375662018,247.82785772994436,40.049728594579356,Intermediate
0,5,213.50090128795156,299.75616625363784,40.051245774764745,Intermediate
0,6,259.9680718886661,353.00194004362277,40.06636391302912,Intermediate
0,7,314.9321406404334,418.7428799705266,40.069121096841904,Intermediate
0,8,600.774603454528,678.0605516324807,40.104342273077016,Intermediate
0,9,796.0039502152731,759.2694625756919,40.104014529234846,Intermediate
0,10,900.0,800.0,40.0,Goal
1,0,-700.0,700.0,40.0,Start
1,1,-483.94181505414866,589.3733082675375,39.999865268287046,Intermediate
1,2,-165.7340780096329,395.4828277188931,39.99983908829945,Intermediate
1,3,-142.87333445366102,381.4094075681731,39.999840042468485,Intermediate
1,4,-151.7779232331893,363.4986284653415,39.99984631337032,Intermediate
1,5,-177.95970105511802,326.4162650445017,40.00379691362159,Intermediate
1,6,-263.0509554262041,180.5386897450965,40.00657371626204,Intermediate
1,7,-342.52687215542903,43.98886221258558,40.00659395356485,Intermediate
1,8,-345.02174843096986,-114.82216660122407,40.00656225330028,Intermediate
1,9,-286.04182059586583,-210.36626263539304,40.00001975030246,Intermediate
1,10,800.0,-700.0,40.0,Goal
2,0,850.0,-850.0,40.0,Start
2,1,-453.7662006385057,196.67199529988017,40.00036935177729,Intermediate
2,2,-478.2370892773108,216.6231886487711,40.00345451854034,Intermediate
2,3,-460.66344307897356,233.37058067438628,40.00285917678222,Intermediate
2,4,-423.7345627040222,296.0444727252879,39.99497422715181,Intermediate
2,5,-397.2572109992226,368.9457472262099,39.98531928085464,Intermediate
2,6,-396.15338701101354,392.1778987105476,39.98909711085151,Intermediate
2,7,-403.516014405174,442.2496499641578,40.125570212971965,Intermediate
2,8,-479.55005686433003,603.8650058977029,40.12935174847368,Intermediate
2,9,-588.5998308798609,675.6407639036152,40.11939150813662,Intermediate
2,10,-850.0,850.0,40.0,Goal
3,0,800.0,800.0,40.0,Start
3,1,190.3625260404714,-128.37769396269056,40.037990829556044,Intermediate
3,2,-31.588591400158162,-336.8600971268651,40.057173829851784,Intermediate
3,3,-107.84695559339787,-378.00808130591724,40.05810724746505,Intermediate
3,4,-146.49887597217534,-399.0997534034081,40.161687105380466,Intermediate
3,5,-385.7900407834077,-317.82781328209325,40.16360386580216,Intermediate
3,6,-421.467302461297,-308.53641458014727,40.15088153959995,Intermediate
3,7,-433.9726325797941,-330.69599009854807,40.12088831872327,Intermediate
3,8,-460.3558072347286,-385.05500221906505,40.06569566119898,Intermediate
3,9,-500.6172525463578,-447.20722749660644,40.003880337586395,Intermediate
3,10,-800.0,-800.0,40.0,Goal
