X_meters,Y_meters,Altitude_meters,Waypoint,Drone_ID,Waypoint_Type
700.0,-700.0,40.0,0,2,Start
-282.7339459693832,179.59927578624496,39.99711166936283,1,2,Intermediate
-308.1997031497733,202.01909557286987,39.99708780741436,2,2,Intermediate
-330.77106010607883,220.64250556286328,39.99998722528971,3,2,Intermediate
-346.0463981836552,233.55480499084226,40.00006024437999,4,2,Intermediate
-361.8122082356913,193.49312571920427,40.00009173157069,5,2,Intermediate
-411.63199779785543,63.071190561613385,40.000139727543825,6,2,Intermediate
-423.1769027079144,43.44460781516808,40.19670994757699,7,2,Intermediate
-433.0743426280583,60.92349205471013,39.99999709230365,8,2,Intermediate
-700.0,700.0,30.0,9,2,Goal
