X_meters,Y_meters,Altitude_meters,Waypoint,Drone_ID,Waypoint_Type
850.0,-850.0,70.0,0,2,Start
-54.442837479450255,451.02050057575684,69.9999317003822,1,2,Intermediate
-89.89343330347259,399.48620118518124,69.9811830868649,2,2,Intermediate
-166.1761799917521,280.7016862814575,69.98111796145389,3,2,Intermediate
-212.90239707388588,207.7158907000737,69.98775244385331,4,2,Intermediate
-228.26432384023778,178.58051444099513,69.9882060469379,5,2,Intermediate
-241.89847066148522,158.60615340658586,69.99027816318576,6,2,Intermediate
-254.45715809709392,175.02448505759645,69.99032826536757,7,2,Intermediate
-269.84535924363854,194.26327200727266,69.99029589975292,8,2,Intermediate
-419.4202319099107,357.13499255630916,69.99000937028057,9,2,Intermediate
-850.0,850.0,40.0,10,2,Goal
