X_meters,Y_meters,Altitude_meters,Waypoint,Drone_ID,Waypoint_Type
900.0,900.0,60.0,0,3,Start
726.5660516738113,618.4806167841809,60.0012761460182,1,3,Intermediate
295.518483930197,34.359092707311035,60.00311574325656,2,3,Intermediate
261.7505985515139,54.35810967129452,60.436416027395914,3,3,Intermediate
236.42400547729815,70.97210311465957,60.00559475234425,4,3,Intermediate
199.27031504500255,112.66656783266957,60.00451808813928,5,3,Intermediate
38.26131582509074,286.38777179761104,60.002700915554406,6,3,Intermediate
-31.82773510203691,323.4478001161422,59.99944599949054,7,3,Intermediate
-52.76659468606411,304.66983794319697,59.99857245666673,8,3,Intermediate
-66.9970088486839,286.2689662833933,59.99663711882039,9,3,Intermediate
-537.8070208949899,-326.42108914433084,59.41659254186131,10,3,Intermediate
-900.0,-900.0,60.0,11,3,Goal
