X_meters,Y_meters,Altitude_meters,Waypoint,Drone_ID,Waypoint_Type
-850.0,-850.0,60.0,0,1,Start
-570.6054323689154,-327.1029071717764,60.00256246360542,1,1,Intermediate
-90.11288401173242,537.2817201549867,60.00300598509826,2,1,Intermediate
-73.35212559324695,564.0373091689539,60.00490977013342,3,1,Intermediate
236.16047326063793,341.9338176700356,60.005383146059295,4,1,Intermediate
252.3631567576725,329.3094173112479,60.0067223091186,5,1,Intermediate
232.90540258663216,321.6194368870856,60.50487154517462,6,1,Intermediate
253.49073741052888,317.8959294793788,60.50582022406027,7,1,Intermediate
293.7755744067445,333.21272571770874,60.50570900843299,8,1,Intermediate
579.8668053371495,496.28141506515465,60.465925532244945,9,1,Intermediate
639.878559508258,551.8970213829184,60.4642068180698,10,1,Intermediate
950.0,950.0,60.0,11,1,Goal
