X_meters,Y_meters,Altitude_meters,Waypoint,Drone_ID,Waypoint_Type
-800.0,-800.0,60.0,0,0,Start
-103.17846961790659,260.83323641174377,60.018330786584016,1,0,Intermediate
-57.17728890109248,301.0278133905422,60.01834043861468,2,0,Intermediate
36.58729376185006,379.16346104976424,60.00812421491135,3,0,Intermediate
98.5183142862479,429.6215463814822,60.008078136163036,4,0,Intermediate
121.95065082404483,448.13974314188164,60.004328686221335,5,0,Intermediate
309.3789831375197,576.4351132756204,60.00433888260752,6,0,Intermediate
340.9227409936931,597.7747187756835,60.009429672478745,7,0,Intermediate
365.10539188587404,612.3099865176016,60.00941802655859,8,0,Intermediate
439.32675264073697,652.3759788584273,60.00030383999489,9,0,Intermediate
900.0,900.0,60.0,10,0,Goal
