X_meters,Y_meters,Altitude_meters,Waypoint,Drone_ID,Waypoint_Type
-850.0,850.0,40.0,0,1,Start
-602.6538245582083,562.8880785664285,40.000397764271064,1,1,Intermediate
-498.6616244905381,438.01596939660845,40.001668773777276,2,1,Intermediate
-399.718190163015,314.3239197172407,40.003826738966595,3,1,Intermediate
-389.16669176226867,296.8787899610768,40.005792422605246,4,1,Intermediate
-382.3304725170128,276.1274608723621,40.33225819956472,5,1,Intermediate
-386.97185992681375,256.6513037124789,40.269148368806164,6,1,Intermediate
-394.07275362400645,237.91893876816172,40.0001366759876,7,1,Intermediate
-376.20938786555814,217.88756360833804,39.9999072159717,8,1,Intermediate
-264.3351303108723,93.35804597870826,39.999886411294256,9,1,Intermediate
850.0,-850.0,40.0,10,1,Goal
