X_meters,Y_meters,Altitude_meters,Waypoint,Drone_ID,Waypoint_Type
750.0,-750.0,50.0,0,2,Start
396.46635103217386,-559.7556234713587,50.00008459019025,1,2,Intermediate
169.9498872048477,-435.83787248233375,50.00019847785655,2,2,Intermediate
58.57370090202927,-352.18825696702515,50.00057971405749,3,2,Intermediate
43.421659391222875,-339.1263446216977,50.00057843027285,4,2,Intermediate
38.864855426525985,-319.3757621615096,50.000079505598116,5,2,Intermediate
58.87583730110422,-318.8568486236641,49.998649081592085,6,2,Intermediate
62.73896492435786,-338.4864168571021,49.995634337849886,7,2,Intermediate
45.23266769193218,-324.35898496505985,49.995588520627365,8,2,Intermediate
-349.9121799718388,190.9828126762858,49.99540907360977,9,2,Intermediate
-750.0,750.0,35.0,10,2,Goal
