Drone_ID,Waypoint,X_meters,Y_meters,Altitude_meters,Waypoint_Type
0,0,-700.0,-700.0,30.0,Start
0,1,-117.78295381316421,277.147623159081,30.06590850663458,Intermediate
0,2,-135.20304955025105,267.1601735616205,30.221781953998423,Intermediate
0,3,-158.25675374823345,247.6917945401463,30.231232087659432,Intermediate
0,4,-360.5186071111289,108.55734785010839,30.22726303686166,Intermediate
0,5,-407.2442926370928,53.63015347290555,30.145697186951985,Intermediate
0,6,-403.71293277836753,33.23357597582871,30.100979129342868,Intermediate
0,7,-381.7668669307737,50.63441130068843,30.07682791808427,Intermediate
0,8,-275.6029831572659,145.8156208150757,30.047194945824216,Intermediate
0,9,700.0,700.0,30.0,Goal
1,0,-700.0,700.0,40.0,Start
1,1,-545.8643964099663,170.6642368815401,40.027712684327234,Intermediate
1,2,-538.8753601682048,151.90511912130296,40.028372697364105,Intermediate
1,3,-520.0400189684387,145.12420423784258,40.02877436861374,Intermediate
1,4,-413.575799211477,154.36610732269622,40.26135878871681,Intermediate
1,5,-93.03276481429695,183.83208104648276,40.002223647800065,Intermediate
1,6,-13.453891090430975,183.78380183172894,40.00216436714471,Intermediate
1,7,69.39583732618541,91.75698283626878,40.0018539138725,Intermediate
1,8,228.63184822147528,-106.14037079638616,40.001143390635875,Intermediate
1,9,700.0,-700.0,40.0,Goal
2,0,750.0,-750.0,50.0,Start
2,1,396.46635103217386,-559.7556234713587,50.00008459019025,Intermediate
2,2,169.9498872048477,-435.83787248233375,50.00019847785655,Intermediate
2,3,58.57370090202927,-352.18825696702515,50.00057971405749,Intermediate
2,4,43.421659391222875,-339.1263446216977,50.00057843027285,Intermediate
2,5,38.864855426525985,-319.3757621615096,50.000079505598116,Intermediate
2,6,58.87583730110422,-318.8568486236641,49.998649081592085,Intermediate
2,7,62.73896492435786,-338.4864168571021,49.995634337849886,Intermediate
2,8,45.23266769193218,-324.35898496505985,49.995588520627365,Intermediate
2,9,-349.9121799718388,190.9828126762858,49.99540907360977,Intermediate
2,10,-750.0,750.0,35.0,Goal
3,0,800.0,800.0,35.0,Start
3,1,-535.0860032920405,140.99418531753966,34.999701950283814,Intermediate
3,2,-553.617487501987,148.6459636553235,34.99502049283291,Intermediate
3,3,-573.4425658462892,171.18421574572403,34.99452039098531,Intermediate
3,4,-494.17205638781985,266.6941756017244,34.96265780063444,Intermediate
3,5,-402.14047904077745,375.97089244552586,34.96230611944353,Intermediate
3,6,-379.91628659749495,407.18243019853554,34.4104071823291,Intermediate
3,7,-398.55961137750177,399.94682973775815,34.98683093764191,Intermediate
3,8,-662.0236436119765,5.993121022279804,35.00004463889173,Intermediate
3,9,-670.4489154675429,-43.06144695220992,35.000221588523765,Intermediate
3,10,-800.0,-800.0,45.0,Goal
