X_meters,Y_meters,Altitude_meters,Waypoint,Drone_ID,Waypoint_Type
800.0,-800.0,40.0,0,3,Start
101.75261473294789,257.1690685475123,40.00193836554333,1,3,Intermediate
-99.97178571340564,352.64144929322475,40.079755514754375,2,3,Intermediate
-412.505564027698,15.23758202746161,40.09670575167608,3,3,Intermediate
-472.27763697821695,-68.95251754098537,40.10112232667618,4,3,Intermediate
-467.79839203795854,-88.49334888518354,40.246952584103354,5,3,Intermediate
-462.1411645205278,-68.72410713523747,40.24651577001965,6,3,Intermediate
-452.34548198577176,206.8900611764452,39.99877583893816,7,3,Intermediate
-347.52809747964835,450.36356091275763,39.996331678888694,8,3,Intermediate
-336.608510714442,467.2722164107915,39.99824441521454,9,3,Intermediate
-800.0,800.0,40.0,10,3,Goal
